Year,Month,Deal ID,Stage,PSO/Non-PSO,Region,Practice,Channel,Business Unit,Weight,Leads UW,Leads,SalesOps,Actuals
2021,3,4424,L3,Non-PSO,EMEA,Data & Analytics,GCP,BFSI,0.50,"$26,057","$13,029",$0,$0
2021,3,4440,Not in Pipeline,Non-PSO,US-East,Custom AI/ML,GCP,Others,0.00,$0,$0,$0,"$61,056"
2021,3,4485,Not in Pipeline,Non-PSO,US-East,Data & Analytics,Direct,BFSI,0.00,$0,$0,$0,"$63,624"
2021,4,1069,Commit,Non-PSO,US-East,Data & Analytics,GCP,HCLS,1.00,"$66,240","$66,240","$66,240",$0
2021,4,1339,On Hold,Non-PSO,US-Central,Marketing Analytics,GCP,Others,0.00,"$46,607",$0,$0,$0
2021,4,1466,L3,Non-PSO,US-East,Custom AI/ML,GCP,HCLS,0.10,"$11,688","$1,169",$0,$0
2021,4,1544,Commit,Non-PSO,US-East,Data & Analytics,Direct,BFSI,1.00,"$55,500","$55,500","$55,500","$56,100"
2021,4,1805,L1,Non-PSO,US-West,Document Understanding AI,GCP,HCLS,0.90,"$22,857","$20,571",$0,$0
2021,4,1947,Commit,PSO,US-West,Data & Analytics,GCP,Others,1.00,"$6,525","$6,525","$6,525","$6,525"
2021,4,1960,Commit,PSO,US-East,Data & Analytics,GCP,HCLS,1.00,"$125,520","$125,520","$125,520","$171,416"
2021,4,1998,L2,Non-PSO,US-West,Custom AI/ML,GCP,TMEG,0.30,"$4,762","$1,429",$0,$0
2021,4,2009,Commit,Non-PSO,US-East,Custom AI/ML,Direct,BFSI,1.00,"$43,889","$43,889","$43,889","$39,500"
2021,4,2017,On Hold,Non-PSO,India,Conversational AI,GCP,BFSI,0.00,"$2,200",$0,$0,$0
2021,4,2086,L1,Non-PSO,US-East,Custom AI/ML,Direct,TMEG,0.90,"$70,214","$63,193","$4,213","$7,500"
2021,4,2090,Commit,Non-PSO,US-West,Document Understanding AI,GCP,BFSI,1.00,"$35,000","$35,000","$35,000","$26,025"
2021,4,2154,L1,Non-PSO,US-East,Conversational AI,GCP,Others,0.50,"$8,983","$4,491",$0,$0
2021,4,2170,L1,Non-PSO,US-Central,Custom AI/ML,GCP,Others,0.90,"$32,143","$28,929",$0,$0
2021,4,2240,Commit,Non-PSO,US-Central,Others,Direct,BFSI,1.00,"$41,184","$41,184","$41,184","$37,488"
2021,4,2287,On Hold,Non-PSO,US-East,Custom AI/ML,Direct,TMEG,0.00,"$50,000",$0,$0,$0
2021,4,2294,L1 Extn,Non-PSO,India,Custom AI/ML,Direct,Others,0.90,"$36,231","$32,608","$32,608",$0
2021,4,2295,Commit,Non-PSO,US-Central,Others,AWS,BFSI,1.00,"$100,000","$100,000","$100,000","$121,100"
2021,4,2303,Commit,Non-PSO,US-East,Data & Analytics,Direct,HCLS,1.00,"$30,720","$30,720","$30,720","$30,720"
2021,4,2307,Commit,Non-PSO,US-Central,Custom AI/ML,GCP,BFSI,1.00,"$16,391","$16,391","$16,391","$32,624"
2021,4,2345,L2,Non-PSO,Canada,Custom AI/ML,GCP,Edu & PubSec,0.20,"$24,490","$4,898",$0,$0
2021,4,2587,Commit,PSO,US-West,Conversational AI,GCP,TMEG,1.00,"$129,360","$129,360","$129,360","$129,360"
2021,4,2593,Commit,PSO,US-East,Custom AI/ML,GCP,HCLS,1.00,"$62,500","$62,500","$62,500","$53,000"
2021,4,2636,L4,Non-PSO,US-West,Data & Analytics,GCP,HCLS,0.10,"$100,000","$10,000",$0,$0
2021,4,2639,L2,Non-PSO,US-Central,Marketing Analytics,GCP,Others,0.90,"$50,491","$45,442",$0,$0
2021,4,2663,L4,Non-PSO,US-West,Custom AI/ML,GCP,Others,0.10,"$23,016","$2,302",$0,$0
2021,4,2673,Commit,PSO,US-East,Custom AI/ML,GCP,Edu & PubSec,1.00,"$100,000","$100,000","$100,000","$93,960"
2021,4,2681,Commit,Non-PSO,US-Central,Data & Analytics,GCP,Others,1.00,"$1,750","$1,750","$1,750","$2,100"
2021,4,2687,L1,Non-PSO,US-Central,Data & Analytics,GCP,Others,0.90,"$81,429","$73,286",$0,$0
2021,4,2722,On Hold,Non-PSO,US-Central,Marketing Analytics,GCP,Edu & PubSec,0.00,"$58,000",$0,$0,$0
2021,4,2751,Commit,PSO,US-East,Conversational AI,GCP,HCLS,1.00,"$9,926","$9,926","$9,926","$17,634"
2021,4,2762,Commit,Non-PSO,EMEA,Data & Analytics,GCP,HCLS,1.00,"$36,827","$36,827","$36,827","$27,885"
2021,4,2782,On Hold,Non-PSO,India,Data & Analytics,AWS,Others,0.00,"$4,569",$0,$0,$0
2021,4,2797,L2,Non-PSO,India,Document Understanding AI,Direct,BFSI,0.20,"$17,857","$3,571",$0,$0
2021,4,2826,L1,Non-PSO,US-West,Conversational AI,GCP,Others,0.90,"$10,000","$9,000",$0,$0
2021,4,2873,On Hold,Non-PSO,US-East,Custom AI/ML,GCP,Edu & PubSec,0.00,"$18,514",$0,$0,$0
2021,4,2907,Commit,Non-PSO,US-Central,Conversational AI,GCP,Edu & PubSec,1.00,"$2,580","$2,580","$2,580","$2,580"
2021,4,2946,On Hold,Non-PSO,Canada,Others,AWS,BFSI,0.00,"$8,333",$0,$0,$0
